model,system,window,metric,stratum,group_mean_difference,group_median_difference,group_win_rate,ci95_low,ci95_high
E1_GRAPHICAL_DEEPONET,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,-0.015427788544607818,-0.004683840219487716,0.6022099447513812,-0.023675235065831402,-0.007745233045287521
E1_GRAPHICAL_DEEPONET,IEEE39,2_10,differential_rmse,BELOW_HIGH,-0.018638800405870213,0.0030804307038047817,0.3259668508287293,-0.03308390010086887,-0.006581805385315096
E1_GRAPHICAL_DEEPONET,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,-0.021121510263070443,-0.006109574265998744,0.6629834254143646,-0.030331788682281577,-0.012615055583674852
E1_GRAPHICAL_DEEPONET,IEEE39,10_30,differential_rmse,BELOW_HIGH,-0.0205533319850202,0.003376694321764303,0.281767955801105,-0.03525684528328982,-0.008313252257353989
E2_GAT_H128,NPCC140,full,trajectory_rmse,BELOW_HIGH,0.007055255095286644,0.002340053515494675,0.1323529411764706,0.002034155908953851,0.013740874958770192
E2_GAT_H128,NPCC140,full,differential_rmse,BELOW_HIGH,0.015612565587459493,0.0007508791871387312,0.2647058823529412,0.007023501431527955,0.026136703284537464
E2_GAT_H128,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,0.004883561711790502,0.005845832302522962,0.14705882352941177,0.0019130050970922147,0.008263813027569305
E2_GAT_H128,NPCC140,0_2,differential_rmse,BELOW_HIGH,0.0031562975269825203,4.662740146406834e-05,0.4852941176470588,-0.0009185103632125591,0.007976571748969733
E2_GAT_H128,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,0.0020592347583860008,0.0015785307876465592,0.32142857142857145,0.0009809251369739343,0.0033366696717001786
E2_GAT_H128,NPCC140,2_10,differential_rmse,BELOW_HIGH,0.001903038866550818,9.648481187709368e-05,0.3392857142857143,-0.0001599332748218829,0.0042289192186358805
E2_GAT_H128,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,0.008616558394653478,0.001986508022827564,0.17857142857142858,0.002965123733252914,0.017211689742685197
E2_GAT_H128,NPCC140,10_30,differential_rmse,BELOW_HIGH,0.019436436656248453,0.00126139390862636,0.17857142857142858,0.008144570502843484,0.03402340716011461
E2_GAT_H128,IEEE39,full,trajectory_rmse,BELOW_HIGH,-0.007822938820715056,-0.004929920923439418,0.6391304347826087,-0.01296903904697594,-0.002860344378289636
E2_GAT_H128,IEEE39,full,differential_rmse,BELOW_HIGH,-0.005531454939731576,-0.0007819382532359687,0.5782608695652174,-0.01439082368739315,0.0027582575528926983
E2_GAT_H128,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,-0.004230191438850212,-0.0026943249653000535,0.5782608695652174,-0.006986071161476419,-0.0016587862182560452
E2_GAT_H128,IEEE39,0_2,differential_rmse,BELOW_HIGH,-0.0010738623369145354,-0.0013176883912244361,0.5826086956521739,-0.005489864488935412,0.002996859879671694
E2_GAT_H128,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,-0.006714094961346293,-0.0029769350493174932,0.6077348066298343,-0.013892346096066687,0.000229393529859564
E2_GAT_H128,IEEE39,2_10,differential_rmse,BELOW_HIGH,-0.009744714562267625,-0.0011746269606830654,0.6629834254143646,-0.021791802640908457,0.001709383228347635
E2_GAT_H128,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,-0.009956746316707886,-0.006286364847581019,0.6574585635359116,-0.016384637372141134,-0.003404755934859325
E2_GAT_H128,IEEE39,10_30,differential_rmse,BELOW_HIGH,-0.007882838001699222,-0.0006592166252826409,0.6243093922651933,-0.01864493177798892,0.0025508891361753867
E3_GCN_H128,NPCC140,full,trajectory_rmse,BELOW_HIGH,0.002753966918226173,0.0011035143874312046,0.2647058823529412,-0.0015723242054929605,0.00882164297092749
E3_GCN_H128,NPCC140,full,differential_rmse,BELOW_HIGH,0.01939550572408141,0.0009083727225336775,0.3088235294117647,0.009406823282519712,0.03132691168224483
E3_GCN_H128,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,0.003001211545018123,0.0029695171299556934,0.27941176470588236,0.0007499637700449995,0.005073227686561846
E3_GCN_H128,NPCC140,0_2,differential_rmse,BELOW_HIGH,0.012457718638295158,0.0030909241969439977,0.29411764705882354,0.0067224655839343075,0.01906213925085162
E3_GCN_H128,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,0.000493072931945428,-0.00031257117766184095,0.5892857142857143,-0.0007085543942178083,0.0020211271916877748
E3_GCN_H128,NPCC140,2_10,differential_rmse,BELOW_HIGH,0.0025325185806975665,0.00017823407297045952,0.44642857142857145,-7.4424652792253195e-06,0.005510255058133667
E3_GCN_H128,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,0.003873310314321688,0.0003169479535195574,0.375,-0.0016121634739068086,0.012063336856101987
E3_GCN_H128,NPCC140,10_30,differential_rmse,BELOW_HIGH,0.013068436815712098,0.00010978340055355474,0.48214285714285715,0.0004005279418821445,0.0288810968969847
E3_GCN_H128,IEEE39,full,trajectory_rmse,BELOW_HIGH,0.0019524164583811358,0.0009998457030430906,0.4434782608695652,-0.004231027012834025,0.008134615070806631
E3_GCN_H128,IEEE39,full,differential_rmse,BELOW_HIGH,-0.0008880057350428749,-0.000589159452293901,0.5782608695652174,-0.011202700445665311,0.009321462974961621
E3_GCN_H128,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,-0.0007923850321561802,-0.000861779886531704,0.5434782608695652,-0.003303966901949093,0.0015158778821720163
E3_GCN_H128,IEEE39,0_2,differential_rmse,BELOW_HIGH,0.0027244409499257013,-0.0007709861674030487,0.5434782608695652,-0.0016384755149365278,0.0067437867046102355
E3_GCN_H128,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,0.003657808536429875,0.00400154760483849,0.39226519337016574,-0.004715742112989093,0.0118788301253702
E3_GCN_H128,IEEE39,2_10,differential_rmse,BELOW_HIGH,-0.012454289647693228,-0.0022100650744438987,0.7734806629834254,-0.0253500768052966,-0.00025363213552739237
E3_GCN_H128,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,0.004641551320456348,0.0018370652090539644,0.4530386740331492,-0.0035571631243614746,0.013095039862290896
E3_GCN_H128,IEEE39,10_30,differential_rmse,BELOW_HIGH,-0.0095082341093535,-0.0012988364030676607,0.7016574585635359,-0.022774779591897363,0.003770297387659848
E4_UGCN,NPCC140,full,trajectory_rmse,BELOW_HIGH,0.0041722111735854215,0.002572230950037927,0.2647058823529412,0.0007754341775540952,0.007548402470898695
E4_UGCN,NPCC140,full,differential_rmse,BELOW_HIGH,0.00593847029423024,0.0017324124496635466,0.23529411764705882,-0.0006221997830399526,0.0125678881615809
E4_UGCN,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,0.0029672590376119547,0.004479501137961235,0.25,0.0002034500682704102,0.005313227175747297
E4_UGCN,NPCC140,0_2,differential_rmse,BELOW_HIGH,0.0015157074882173333,0.004693664191160282,0.17647058823529413,-0.0027499556132550324,0.005046851471274653
E4_UGCN,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,0.004691490506941119,0.002496065191539911,0.17857142857142858,0.0025503462488766404,0.007381254366519083
E4_UGCN,NPCC140,2_10,differential_rmse,BELOW_HIGH,0.006401853956211667,0.001556527448932608,0.017857142857142856,0.002436740031744268,0.011425248865138113
E4_UGCN,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,0.007328841463495138,0.003481173273723142,0.17857142857142858,0.004237962389861577,0.011006247101457456
E4_UGCN,NPCC140,10_30,differential_rmse,BELOW_HIGH,0.012583106605557932,0.002652506706228043,0.125,0.005553138433723986,0.02062281081974427
E4_UGCN,IEEE39,full,trajectory_rmse,BELOW_HIGH,-0.0091445251142877,0.00017098156576441634,0.49130434782608695,-0.01564211222999566,-0.003324326469988578
E4_UGCN,IEEE39,full,differential_rmse,BELOW_HIGH,-0.023671616067323518,0.00026208130917803035,0.4826086956521739,-0.03539050841146695,-0.013027381958376947
E4_UGCN,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,-0.00012925316102529666,0.0008522136992596747,0.45652173913043476,-0.0029697707087273087,0.0024837446439315916
E4_UGCN,IEEE39,0_2,differential_rmse,BELOW_HIGH,-0.0041268704438312195,0.0032123439285203525,0.391304347826087,-0.00945647962365098,0.0009353221701142456
E4_UGCN,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,-0.01094751999376005,0.00011242623389689093,0.4861878453038674,-0.019760369801147717,-0.0027967934835974088
