model,epoch,dataset,population,system,scope,scope_value,window,metric,n_records,n_scenes,n_groups,group_macro,record_median,record_p90
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,differential_rmse,4350,457,324,0.010242002268099267,0.002352859803937319,0.009576030497648439
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,nadir_error,4350,457,324,0.02202969046875316,0.008888349402695894,0.05348860621452331
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,max_abs_rocof_error,4350,457,324,0.00954751901122219,0.004420537501573563,0.009600834175944328
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,10_30,trajectory_rmse,3706,500,365,0.016777476304337385,0.009752694743438359,0.049485413258755884
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,10_30,differential_rmse,3706,500,365,0.009950574858238066,0.002417206002242665,0.024978419201207427
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,10_30,nadir_error,3706,500,365,0.017362755636970338,0.008515016175806522,0.05098222196102142
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,10_30,max_abs_rocof_error,3706,500,365,0.012271879720862421,0.004505388205870986,0.011633007205091417
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,10_30,trajectory_rmse,617,333,218,0.11626847847073124,0.008469992544126843,0.08225444675626412
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,10_30,differential_rmse,617,333,218,0.09936107025321966,0.0036839640352143623,0.029065658446316325
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,10_30,nadir_error,617,333,218,0.1399316332726295,0.0076046474277973175,0.11210741996765128
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,10_30,max_abs_rocof_error,617,333,218,0.2759726502090512,0.007170289754867554,0.023833192326128468
G0_BALANCED,53,validation,ALL_1000,IEEE39,pair,SG_GFM,10_30,pair_rmse,333,333,218,0.1130045191115345,0.006159856150550492,0.298430940319542
G0_BALANCED,53,validation,ALL_1000,IEEE39,pair,ALL,10_30,pair_rmse,500,500,365,0.03483362315058458,0.004952584454523118,0.07260322320885929
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,10_30,spread_mae,500,500,365,0.07198033425160442,0.00976983458349423,0.13356185418553732
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,10_30,spread_mae,109,109,78,0.01463801231500821,0.007880306732840837,0.022873230576515198
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,spread_mae,457,457,324,0.04759239467283816,0.00938028098698851,0.03647858921438456
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,full,trajectory_rmse,1180,118,114,0.05750294780704224,0.03222356687766914,0.09050336354660933
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,full,differential_rmse,1180,118,114,0.05127111014685123,0.020040790734506528,0.07266465796682503
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,full,nadir_error,1180,118,114,0.19275575050381585,0.05575483664870262,0.4965280778706076
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,full,max_abs_rocof_error,1180,118,114,6.923056032918824,1.5352171745832752,25.526627015917644
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,full,trajectory_rmse,744,185,156,0.06929497392516983,0.029555973702773276,0.16374581139116182
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,full,differential_rmse,744,185,156,0.06294132020482517,0.03343698443106291,0.13361109326370352
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,full,nadir_error,744,185,156,0.29303676819221064,0.06652646511793137,1.1215895287692548
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,full,max_abs_rocof_error,744,185,156,11.305259537096227,1.6099434875092444,50.231697266512306
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,full,spread_mae,118,118,114,0.1974019747553497,0.020423467353713462,0.27282913156142824
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,0_2,trajectory_rmse,1180,118,114,0.13093021166841073,0.1017748947669048,0.2916019802412741
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,0_2,differential_rmse,1180,118,114,0.09823799241938551,0.06189717232866319,0.2519575186246681
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,0_2,nadir_error,1180,118,114,0.19639371648745352,0.05968008190393448,0.5118869878351695
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,0_2,max_abs_rocof_error,1180,118,114,6.923056032918824,1.5352171745832752,25.526627015917644
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,trajectory_rmse,744,185,156,0.1344225978794856,0.08109892436322855,0.329964794807593
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.11255243820833478,0.07725846155842783,0.2788181538659932
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,nadir_error,744,185,156,0.28561524546000017,0.056361984461545944,1.1212698951363578
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,max_abs_rocof_error,744,185,156,11.3049727686607,1.604288516258044,50.231697266512306
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,0_2,spread_mae,118,118,114,0.26872569589754414,0.1889669233708951,0.40222162409654993
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,2_10,trajectory_rmse,1180,118,114,0.050476055469295115,0.028798547863322206,0.10212025983217297
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,2_10,differential_rmse,1180,118,114,0.04027819004955969,0.005236925685508541,0.046005672527812146
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,2_10,nadir_error,1180,118,114,0.08000945238510897,0.05022582225501537,0.17407674193382278
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,2_10,max_abs_rocof_error,1180,118,114,0.4170641464620731,0.08265037521159671,0.6052068879193193
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,trajectory_rmse,744,185,156,0.06466786535837184,0.02877873406120495,0.11831569820948615
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.05432697497488704,0.028819978387865798,0.10276884686773784
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,nadir_error,744,185,156,0.10159527827851281,0.06733257323503494,0.20103386398404838
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,max_abs_rocof_error,744,185,156,0.3628696427130267,0.2037275347583694,1.101128611824999
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,2_10,spread_mae,118,118,114,0.19065228339930712,0.016675040135592446,0.2650297570240244
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,10_30,trajectory_rmse,1180,118,114,0.03834791486430222,0.013312419365106666,0.06227667607254268
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,10_30,differential_rmse,1180,118,114,0.0383595910534101,0.0039727985571409545,0.04541923421094196
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,10_30,nadir_error,1180,118,114,0.04833022993255949,0.018609970808029175,0.1141272433102131
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,10_30,max_abs_rocof_error,1180,118,114,0.08580895386890115,0.008010040619410574,0.1849070738069717
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,10_30,trajectory_rmse,744,185,156,0.04705359853490899,0.010852851826199661,0.17670542243567852
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,10_30,differential_rmse,744,185,156,0.04219042168989703,0.027207690656210204,0.12098068848841519
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,10_30,nadir_error,744,185,156,0.05224220571558506,0.011332545429468155,0.15958309695124648
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,10_30,max_abs_rocof_error,744,185,156,0.06854499660311072,0.027488205581903458,0.2317191811278463
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,fault,10_30,spread_mae,118,118,114,0.19296947918354732,0.009759113724066992,0.2715574108017609
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,full,trajectory_rmse,1190,119,86,0.013492701826916188,0.00877073693508648,0.02314602382798267
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,full,differential_rmse,1190,119,86,0.004969278272177391,0.004017300180434807,0.008228743493882903
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,full,nadir_error,1190,119,86,0.020507327061414452,0.01108977759940899,0.04385582916438581
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,full,max_abs_rocof_error,1190,119,86,0.19376523941873738,0.07795088332584602,0.622299561841772
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,full,spread_mae,119,119,86,0.010547638132716091,0.008232045115353744,0.014435643040622996
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,0_2,trajectory_rmse,1190,119,86,0.021335139001471794,0.01940622054421396,0.038484201800760585
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,0_2,differential_rmse,1190,119,86,0.01340983180606492,0.0111558487209691,0.027605000965030255
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,0_2,nadir_error,1190,119,86,0.021407349293424624,0.01280786725692451,0.045054645463824296
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,0_2,max_abs_rocof_error,1190,119,86,0.19064324610621544,0.07604613834946312,0.622299561841772
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,0_2,spread_mae,119,119,86,0.023230622916576633,0.019134825806752572,0.06291296910357463
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,2_10,trajectory_rmse,1190,119,86,0.01309691048748753,0.008005332418009967,0.022409618605308202
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,2_10,differential_rmse,1190,119,86,0.004010421452872409,0.0025256038033035534,0.005480084578621103
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,2_10,nadir_error,1190,119,86,0.012657690573262265,0.007505294197471812,0.023257858399301785
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,2_10,max_abs_rocof_error,1190,119,86,0.023078855935325573,0.012175713456814398,0.05753142671717189
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,2_10,spread_mae,119,119,86,0.011765706220292013,0.00701626432086174,0.013958791028258718
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,10_30,trajectory_rmse,1190,119,86,0.011744654710838331,0.0065796086848380975,0.022334455579493002
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,10_30,differential_rmse,1190,119,86,0.0025046204382956037,0.0020750833122520494,0.00416825976263161
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,10_30,nadir_error,1190,119,86,0.009007803353293977,0.0047202021814882755,0.018857569375541065
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,10_30,max_abs_rocof_error,1190,119,86,0.00445044449925412,0.004033302189782262,0.007155092479661108
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,line,10_30,spread_mae,119,119,86,0.008792112419299667,0.008072246110532432,0.01105532000772655
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,full,trajectory_rmse,1492,154,130,0.017752382023127455,0.014647867837377336,0.0450506380802882
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,full,differential_rmse,1492,154,130,0.014753631232071964,0.008685774170140811,0.03574106000363828
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,full,nadir_error,1492,154,130,0.01705192803069767,0.01119254156947136,0.0673664771020413
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,full,max_abs_rocof_error,1320,154,130,0.3986031592991673,0.31400353883959803,0.8606823527997864
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,full,spread_mae,154,154,130,0.024870874470065724,0.017351391246076535,0.03691677956124208
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,0_2,trajectory_rmse,1492,154,130,0.026096122687007794,0.025329039513391875,0.06240877055489995
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,0_2,differential_rmse,1492,154,130,0.0239480747629638,0.021601087195412882,0.04874906271696091
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,0_2,nadir_error,1492,154,130,0.016139261216284555,0.011111214756965637,0.052498952299356465
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,0_2,max_abs_rocof_error,1320,154,130,0.398325482424619,0.31400353883959803,0.8587149145823045
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,0_2,spread_mae,154,154,130,0.03338743742994176,0.03685126808534761,0.05717392531482486
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,2_10,trajectory_rmse,1320,154,130,0.020047232314982583,0.01740835886564431,0.04233696157700052
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,2_10,differential_rmse,1320,154,130,0.010912546690793692,0.0070785080197294115,0.018417426192617443
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,2_10,nadir_error,1320,154,130,0.0148160445157061,0.00877334177494049,0.0717088975012303
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,2_10,max_abs_rocof_error,1320,154,130,0.02877217921709185,0.018890891582098508,0.08742111317740758
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,2_10,spread_mae,154,154,130,0.02426473670792091,0.022123686866166753,0.034710036958157595
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,10_30,trajectory_rmse,1320,154,130,0.015593168609249938,0.010891489172246301,0.04565631736664003
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,10_30,differential_rmse,1320,154,130,0.0075136825182228984,0.004454035403639553,0.014640594415647534
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,10_30,nadir_error,1320,154,130,0.01528003320657399,0.01117212325334549,0.046792039275169374
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,10_30,max_abs_rocof_error,1320,154,130,0.006311395720457055,0.005599021911621094,0.00963630676269532
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,generator,10_30,spread_mae,154,154,130,0.024261673278936042,0.014817984635010361,0.0378340401314199
