model,system,window,metric,stratum,n_devices,n_scenes,n_groups,group_macro,median,p90
A3_F_ONLY,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.007510652293379804,0.004478633259415177,0.009344154881046968
A3_F_ONLY,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.007368695642740781,0.0019423007353877597,0.007950690059775268
A3_F_ONLY,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.007673227813125891,0.0032677528788971092,0.010081977535431752
A3_F_ONLY,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.013556505038362638,0.0012649392156610683,0.003783450603698983
A3_F_ONLY,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.07127851036129285,0.029710286191295395,0.10124485257137497
A3_F_ONLY,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.04279277545122036,0.008633137127549977,0.05003138895507001
A3_F_ONLY,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.054844618795599626,0.03282276718252165,0.1254720657654555
A3_F_ONLY,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.03605444732887155,0.02163828872531315,0.056490682028357865
A3_F_ONLY,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.0817536597910842,0.028775215998350357,0.10946691017296924
A3_F_ONLY,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.03250368501033906,0.004709581829461589,0.029328805553046528
A3_F_ONLY,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.08690251980168352,0.02421581689095094,0.10437617235591887
A3_F_ONLY,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.03383070835403553,0.0038570498525158474,0.02917172468784387
A4_L_ONLY,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.014281986538343346,0.0054509293759298786,0.009744069245837374
A4_L_ONLY,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.01674333009889148,0.0024731635504155634,0.007859554204053654
A4_L_ONLY,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.021050058158541142,0.014134605540742586,0.02337004515119405
A4_L_ONLY,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.014664700162557762,0.004844289817992266,0.021386846313276933
A4_L_ONLY,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.006861933502347336,0.0041621201411324,0.008888339867396407
A4_L_ONLY,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.008127523055518003,0.0020231302798588294,0.0073165691388273535
A4_L_ONLY,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.00769629614195712,0.0028966136863872944,0.008339245416785405
A4_L_ONLY,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.01528660754324697,0.0013862351263078652,0.004795741955351901
A4_L_ONLY,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.07297706341535204,0.03905567274293924,0.10534512008807352
A4_L_ONLY,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.038106289893506326,0.010398876985655184,0.03381237404304368
A4_L_ONLY,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.05916104653366509,0.0474455938117133,0.12936444029067762
A4_L_ONLY,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.030129114043287955,0.01945725564304325,0.053869231046692584
A4_L_ONLY,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.08869940030056697,0.038089327359284525,0.10581122405725074
A4_L_ONLY,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.03815180006355626,0.005363322407194666,0.033068620158549736
A4_L_ONLY,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.08791894059474027,0.03322352629980178,0.10868421636030008
A4_L_ONLY,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.03633072511676993,0.005672675917147075,0.02970826129525378
A5_NO_PHYSICAL,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.014912675321558792,0.009334056546208459,0.014121978641236052
