model,reference,dataset,population,system,scope,scope_value,window,metric,n_paired_records,model_records,reference_records,n_paired_scenes,n_groups,group_mean_difference,group_median_difference,group_win_rate,ci95_low,ci95_high
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,0_2,max_abs_rocof_error,3706,3706,3706,500,365,0.010784785700186705,0.024009892036767927,0.40273972602739727,0.004066353112026804,0.01720616993436566
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,0_2,trajectory_rmse,617,617,617,333,218,0.008818184301544907,0.005276093613304217,0.1743119266055046,0.00651100180095555,0.011264261759786193
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,0_2,differential_rmse,617,617,617,333,218,0.0063886961488015944,0.005526249286785488,0.3119266055045872,0.004484148690719413,0.008489262891429034
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,0_2,nadir_error,617,617,617,333,218,-0.00754329078505778,-0.0031374309211969374,0.6376146788990825,-0.00991473607038669,-0.005370023927950743
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,0_2,max_abs_rocof_error,617,617,617,333,218,-0.029116864550161537,0.018717505234792764,0.3348623853211009,-0.048756964421038426,-0.011163617204707184
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,pair,SG_GFM,0_2,pair_rmse,333,333,333,333,218,0.006338957681872228,0.004662729093120842,0.25229357798165136,0.00423650151691572,0.008674225697996153
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,pair,ALL,0_2,pair_rmse,500,500,500,500,365,-3.3698234997150626e-05,3.781670982878904e-05,0.4958904109589041,-0.0006533138871052553,0.0006224990286708603
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,0_2,spread_mae,500,500,500,500,365,-0.0020402711315740847,-0.0009329053723643177,0.6273972602739726,-0.0035707177455598657,-0.00045695894528279435
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,0_2,spread_mae,109,109,109,109,78,-0.0060454381362790134,-0.005936581223365224,0.7435897435897436,-0.007796254527004492,-0.004309875290359847
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,0_2,spread_mae,457,457,457,457,324,-0.003017506189925481,-0.0014023822720614994,0.6790123456790124,-0.004447460589588818,-0.0016425833810563247
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,2_10,trajectory_rmse,4780,4780,4780,500,365,0.0015743154029152666,-0.0015685999049441703,0.6520547945205479,8.452842801108294e-05,0.0032021103705077874
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,2_10,differential_rmse,4780,4780,4780,500,365,-0.0009661383378865355,0.00022704938009926947,0.3424657534246575,-0.0013143530276383479,-0.000628542871154365
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,2_10,nadir_error,4780,4780,4780,500,365,-0.004909705508538991,-0.005827449262142181,0.7095890410958904,-0.006906691794250449,-0.002810788745214506
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,2_10,max_abs_rocof_error,4780,4780,4780,500,365,-0.003437730894235544,-0.0028990371799636804,0.7506849315068493,-0.004279802250509742,-0.0025744472605097332
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,2_10,trajectory_rmse,1090,1090,1090,109,78,0.016223297090155377,0.0021799781225607167,0.4230769230769231,0.010713132234689692,0.021992369394975553
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,2_10,differential_rmse,1090,1090,1090,109,78,0.00031504910814722406,0.00015909000796089493,0.34615384615384615,5.341758133791813e-05,0.0006719701788039251
